category,feature,description,image
safety,6 AIRBAGS,Safety never takes a backseat in the Virtus. Up to 6 airbags protect the car's occupants in the event of a critical incidence.,https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-airbags?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
safety ,ELECTRONIC STABILITY CONTROL,"Open highways or tight city corners, the Virtus keeps a firm grip on the road with Electronic Stability Control",https://assets.volkswagen.com/is/image/volkswagenag/ESC-2?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE1MDAmaGVpPTExMjUmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmNjc1NQ==
safety,MULTI COLLISION BRAKES,"In the event of a collision, multi-collision brakes set into action to stop the vehicle and reduce additional damage",https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-multi-collision-brakes?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
safety,SIGNATURE LED TAIL LAMPS,"Striking to look at, these signature LED tail lamps shine bright for those behind you.",https://assets.volkswagen.com/is/image/volkswagenag/virtus-taillamps?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
design,SHARP SHOULDER LINES,"Chiselled to perfection, its sharp shoulder lines exude sophistication and elegance effortlessly.",https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-sharp-shoulder-line?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
design,SIGNATURE GRILL,"Sharp, striking and classy - the chrome grille give the Virtus a bold and distinctive look, while the window strip and door handles elevate its already impressive design.",https://assets.volkswagen.com/is/image/volkswagenag/virtus-led-headlamps-drls-new?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
design,SPACIOUS INTERIORS,"Sit back, stretch out, and relax in the Virtus’ spacious interiors. Interiors so comfortable, it will make you feel like home.",https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-leather-seats?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
design,3 HEADRESTS AT REAR,Lean back and relax; the Virtus has you covered.,https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-3-headrest?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
technology,LARGE TOUCH SCREEN INFOTAINMENT,The Virtus' infotainment system keeps you connected and entertained on-the-go.,https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-touchscreen-infotainment?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
technology,WIRELESS MOBILE CHARGING,No phone charger? No problem. The Virtus comes standard with wireless mobile charging.,https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-wireless-charging?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
technology,MY VOLKSWAGEN CONNECT,"
Your very own personal assistant, My Volkswagen Connect, puts the Virtus at your fingertips.",https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-vw-connect-2-0-1?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
technology,CLIMATRONIC AC,"Whatever the weather, inside the Virtus, you decide the temperature.",https://assets.volkswagen.com/is/image/volkswagenag/volkswagen-virtus-ac?Zml0PWNyb3AsMSZmbXQ9d2VicCZxbHQ9Nzkmd2lkPTE2MDAmaGVpPTEyMDAmYWxpZ249MC4wMCwwLjAwJmJmYz1vZmYmMjRhZQ==
